SME,SRMSE,MAE,MAPE,SMAPE,R-squared
0.12715666666666633,0.35659033451099925,0.2889999999999998,0.014338318823142135,0.014322359266997469,0.9272958221001999
0.04630999999999979,0.2151975836295561,0.18899999999999958,0.009504792119894193,0.009491398479278148,0.9735214002788707
0.37831333333333345,0.6150718115255596,0.528,0.02605614464338882,0.02590153194404946,0.7836923488987356
0.10779999999999984,0.3283291031876398,0.2906666666666663,0.014620048915992579,0.014605509085963012,0.9383633545683924
0.7153166666666659,0.8457639544616843,0.7209999999999995,0.03625946321981856,0.03631131858671899,0.5910044549661146
0.11051333333333359,0.33243545739486574,0.28933333333333394,0.01452461118632022,0.014609415665189569,0.917760552251675
0.04228000000000005,0.20562101059959814,0.17800000000000035,0.009032090651691943,0.00901909874029279,0.9685369742643496
0.3051466666666664,0.5524008206607467,0.5086666666666665,0.025795723241417153,0.025685873840883295,0.7729224828173781
0.10147666666666687,0.3185540247221291,0.2756666666666669,0.013954985318632951,0.014004669390448173,0.9244852654942914
0.8248599999999998,0.9082180354958823,0.7786666666666666,0.039855504108604126,0.04026714913785957,0.38617333471360993
0.11946999999999984,0.34564432586113697,0.2949999999999998,0.014788326805292485,0.014834154413925315,0.8857028842633676
0.03920333333333333,0.19799831649115943,0.16700000000000018,0.00851229143977123,0.008497248058597917,0.9624941162864168
0.3602300000000003,0.6001916360630164,0.5376666666666668,0.02720618729713917,0.027233804347643786,0.6553674562500448
0.11862333333333312,0.3444173824494535,0.28499999999999964,0.014448267753218731,0.014463434553045168,0.8865128914450062
0.6555866666666669,0.8096830655674273,0.6833333333333332,0.03427133567539332,0.034353102023055956,0.3727993210396491
0.10745666666666677,0.32780583684044856,0.2796666666666669,0.013851516400972512,0.013855535588072777,0.9427060611396014
0.05637666666666667,0.2374377111300281,0.19833333333333356,0.009830184020256622,0.00981460680900603,0.9699409874384738
0.24699000000000015,0.4969808849442805,0.4076666666666668,0.020306111980924035,0.020252088496522866,0.8683094274362082
0.12106666666666675,0.3479463560186638,0.284,0.01391953287528453,0.013958945970368014,0.9354494568536255
0.8990699999999998,0.9481930183248555,0.8403333333333334,0.04225550024039178,0.042195858086793575,0.5206322398683019
